HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Previous Names	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	Approved	C11orf67	"chromosome 11 open reading frame 67"	PTD015, FLJ21035, CK067	11q14.1	BC016854	NM_024684
HGNC:18	AAMP	angio-associated, migratory cell protein	Approved				2q	AB209790	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		"arylalkylamine N-acetyltransferase"	SNAT	17q25.1	U40347	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog (S. cerevisiae)	Approved	C20orf4	"chromosome 20 open reading frame 4"	bA234K24.2	20q11.23		NM_015511
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	"chromosome 8 open reading frame 85"	LOC441376	8q24.11	AB181519, BC140924	NM_001025357
HGNC:20	AARS	alanyl-tRNA synthetase	Approved				16q22.1	D32050	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	"alanyl-tRNA synthetase like", "alanyl-tRNA synthetase 2, mitochondrial (putative)"	KIAA1270, bA444E17.1	6p21.1	AB033096	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved			MGC2744	17q21.31	BC004172	NM_001261434
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved			NRPS998, LYS2, ACSF4	4q12	AF516672	NM_181806
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved			LYS5, CGI-80, AASD-PPT	11q22	AF302110	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved			LORSDH, LKRSDH	7q31.3	AF229180	NM_005763
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved			DED, CHE-1, CHE1, BFR2	17q12	AF083208	NM_012138
HGNC:21	AATK	apoptosis-associated tyrosine kinase	Approved			AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	NM_004920
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved			GABAT	16p13.2	L32961	NM_020686
HGNC:29	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	Approved	ABC1, HDLDT1		TGD	9q31	AJ012376	NM_005502
HGNC:32	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	Approved	ABC2			9q34	U18235	NM_001606
HGNC:33	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	Approved	ABC3		ABC-C, EST111653, LBM180	16p13.3	U78735	NM_001089
HGNC:34	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	Approved	STGD1, ABCR, RP19, STGD	"ATP-binding cassette transporter, retinal-specific"	FFM, ARMD2, CORD3	1p22	U88667	NM_000350
HGNC:35	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	Approved			EST90625	17q24.3	U66672	NM_018672
HGNC:36	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	Approved			EST155051	17q21	U66680	NM_080284
HGNC:37	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	Approved			ABCX	19p13.3	AF328787	NM_019112
HGNC:38	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	Approved			KIAA0822	17q24	AB020629	NM_007168
HGNC:39	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	Approved			EST640918	17q24	AF423307	NM_172386
HGNC:30	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	Approved			EST698739	17q24	AY247065	NM_080282
HGNC:14637	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	Approved	ICR2B	"ichthyosis congenita II, lamellar ichthyosis B"	DKFZP434G232, LI2	2q34	AF418105	NM_173076
HGNC:14638	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	Approved			FLJ33876, FLJ33951	7p12.3	AY204751	NM_152701
HGNC:40	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Approved	PGY1, MDR1, CLCS	"colchicin sensitivity"	P-gp, CD243, GP170, ABC20	7q21.12	M14758	NM_000927
HGNC:45	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Approved	PGY3, MDR3		MDR2, PFIC-3, GBD1	7q21	M23234	NM_000443
HGNC:46	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	Approved			EST422562, ABCB5beta, ABCB5alpha	7p14	U66692	NM_178559
HGNC:47	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)	Approved		"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	EST45597, umat, MTABC3	2q36	AF070598	NM_005689
HGNC:48	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Approved	ABC7		EST140535, Atm1p, ASAT	Xq13.3	AF038950	NM_004299
HGNC:49	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	Approved			EST328128, M-ABC1, MABC1	7q36.1	AF047690	NM_007188
HGNC:50	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	Approved			EST122234	12q24	U66676	NM_019624
HGNC:41	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	Approved			EST20237, M-ABC2, MTABC2	1q32	U18237	NM_012089
HGNC:42	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	Approved	BSEP, PFIC2	"progressive familial intrahepatic cholestasis 2", "bile salt export pump"	ABC16, SPGP, PFIC-2, PGY4	2q24	AF091582	NM_003742
HGNC:51	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	Approved	MRP, MRP1	"multidrug resistance associated protein 1"	GS-X	16p13.1	L05628	NM_004996
HGNC:53	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Approved	CMOAT	"canalicular multispecific organic anion transporter 1"	DJS, MRP2, cMRP	10q24	U63970	NM_000392
HGNC:54	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Approved			MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21	Y17151	NM_020038
HGNC:55	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Approved			MRP4, EST170205, MOAT-B, MOATB	13q31	U66682	NM_005845
HGNC:56	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	Approved			MRP5, SMRP, EST277145, MOAT-C	3q27	AF104942	NM_005688
HGNC:57	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	Approved	ARA, PXE	"pseudoxanthoma elasticum"	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	
HGNC:59	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	Approved	SUR, HRINS		HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	NM_000352
HGNC:60	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	Approved			SUR2, CMD1O	12p12.1	AF061323	NM_005691
HGNC:52	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	Approved			EST182763, MRP7, SIMRP7	6p12.3	U66684	NM_033450
HGNC:14639	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	Approved			MRP8	16q12	AF367202	NM_032583
HGNC:14640	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	Approved			MRP9	16q12.1	AY040220	NM_033226
HGNC:61	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	Approved	ALD		AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	NM_000033
HGNC:66	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	Approved	ALDL1		ALDR, ALDRP	12q12	U28150	NM_005164
HGNC:67	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	Approved	PXMP1		PMP70, ZWS2	1p21.3	M81182	NM_002858
HGNC:68	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	Approved	PXMP1L		PMP69, P70R, EST352188	14q24	AF009746	NM_005050
HGNC:69	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	Approved	RNASEL1, RNASELI, RNS4I		RLI, OABP	4q31	X74987	NM_002940
HGNC:70	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	Approved	ABC50		EST123147	6p21.33	AF027302	
HGNC:71	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	Approved			EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	NM_005692
HGNC:72	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	Approved			EST201864	3q27.1	U66685	NM_018358
HGNC:73	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	Approved			ABC8	21q22.3	U34919	NM_207174
HGNC:74	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)	Approved		"ATP-binding cassette, sub-family G (WHITE), member 2"	EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827
HGNC:13884	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	Approved			WHITE2	11q23	AJ300465	NM_022169
HGNC:13886	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	Approved			STSL	2p21	T93792	NM_022436
HGNC:13887	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	Approved		"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)"	GBD4	2p21	AF320294	NM_022437
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved			LABH1, FLJ36128	2p23.3	AK093447	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved			LABH2	15q26.1	X12433	
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved			LABH3	18q11.1	AK024880	
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved			FLJ12816	14q11.1	AK022878	
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved			CGI-58, NCIE2	3p21.33	AF007132	NM_016006
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved				3p21.2	AF225418	NM_020676
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved			FLJ11743, MGC14280, MGC2512	19p13.12	AK021805	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved			FLJ11342	3q13.2	AL713726	NM_018394
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	"Williams Beuren syndrome chromosome region 21"	PP1226	7q11.23	AF217971	
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	"chromosome 20 open reading frame 22"	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	NM_015600
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	"chromosome 14 open reading frame 29"	BEM46L3	14q21.3	BG698443	
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	"chromosome 13 open reading frame 6"	bA153I24.2, FLJ14906, BEM46L1	13q33.2	AK027812	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved			DKFZP564O243, DORZ1	3p21.1	AY358201	NM_015407
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved			MGC15429, CIB	3p21.2	AK075112	NM_032750
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved				17q11.2	AK056717	NM_198147
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	"HLA-B associated transcript 5"	NG26, D6S82E	6p21.3	AF129756	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	"chromosome 20 open reading frame 135"	dJ591C20.1	20q13.33		
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	"chromosome 19 open reading frame 27", "family with sequence similarity 108, member A1"	MGC5244	19p13.3	BC020512	NM_031213
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	"chromosome 9 open reading frame 77", "family with sequence similarity 108, member B1"	CGI-67	9q21.2	AF151825	NM_016014
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1	"family with sequence similarity 108, member C1"		15q25.1		NM_021214
HGNC:11320	ABI1	abl-interactor 1	Approved	SSH3BP1	"spectrin SH3 domain binding protein 1"	E3B1, ABI-1	10p12.1	U87166	NM_005470
HGNC:24011	ABI2	abl-interactor 2	Approved			ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33	AF260261	NM_005759
HGNC:29859	ABI3	ABI family, member 3	Approved			NESH, SSH3BP3	17q21.3	AB037886	NM_016428
HGNC:17265	ABI3BP	ABI family, member 3 (NESH) binding protein	Approved			NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	"v-abl Abelson murine leukemia viral oncogene homolog 1", "c-abl oncogene 1, receptor tyrosine kinase", "c-abl oncogene 1, non-receptor tyrosine kinase"	JTK7, c-ABL, p150	9q34.1	M14752	NM_007313
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)", "v-abl Abelson murine leukemia viral oncogene homolog 2", "c-abl oncogene 2, non-receptor tyrosine kinase"	ARG	1q25.2	M14904	NM_005158
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM		abLIM, limatin	10q25	AF005654	
HGNC:19195	ABLIM2	actin binding LIM protein family, member 2	Approved		"actin binding LIM protein 2"	KIAA1808	4p16.1	AB058711	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family, member 3	Approved			KIAA0843	5q33.1	AB020650	NM_014945
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Approved			A3GALNT, A3GALT1	9q34.2	AF134415	NM_020469
HGNC:81	ABR	active BCR-related	Approved		"active BCR-related gene"	MDB	17p13	L19704	
HGNC:30655	ABRA	actin-binding Rho activating protein	Approved			STARS	8q23.1	AF503617	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	"chromosome 6 open reading frame 115"	PRO2013, HSPC280, Costars	6q24.1	BC014953	NM_021243
HGNC:17369	ABT1	activator of basal transcription 1	Approved				6p21.31	AB027258	
HGNC:18275	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Approved			BPOZ, EF1ABP, Btb3, BTBD21	3q21	AB053324	NM_172027
HGNC:23842	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	Approved			DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved		"acetyl-Coenzyme A acyltransferase 1"		3p22.2	X14813	NM_001607
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		"acetyl-Coenzyme A acyltransferase 2"	DSAEC	18q21	D16294	NM_006111
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	"acetyl-Coenzyme A carboxylase alpha"	ACC1	17q21	U19822	NM_198836
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		"acetyl-Coenzyme A carboxylase beta"	HACC275, ACC2, ACCB	12q24.1	U89344	NM_001093
HGNC:87	ACAD8	acyl-CoA dehydrogenase family, member 8	Approved		"acyl-Coenzyme A dehydrogenase family, member 8"		11q25	AF126245	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family, member 9	Approved		"acyl-Coenzyme A dehydrogenase family, member 9"	NPD002, MGC14452	3q21.3	AF078854	NM_014049
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family, member 10	Approved		"acyl-Coenzyme A dehydrogenase family, member 10"	MGC5601	12q24.12	AY323912	NM_025247
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family, member 11	Approved		"acyl-Coenzyme A dehydrogenase family, member 11"	FLJ12592	3q22.1	BC019607	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	Approved		"acyl-Coenzyme A dehydrogenase, long chain"	LCAD, ACAD4	2q34	M74096	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Approved		"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	MCAD, MCADH, ACAD1	1p31	M16827	
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Approved		"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	SCAD, ACAD3	12q24.31	M26393	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	Approved		"acyl-Coenzyme A dehydrogenase, short/branched chain"	SBCAD, ACAD7	10q25-q26	U12778	NM_001609
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	Approved		"acyl-Coenzyme A dehydrogenase, very long chain"	VLCAD, LCACD, ACAD6	17p13.1	BC012912	NM_000018
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	"chondroitin sulfate proteoglycan 1", "aggrecan 1"	CSPGCP	15q26.1	M55172	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	"centaurin, beta 1"	KIAA0050	17p13.1	D30758	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	"centaurin, beta 2"	KIAA0041, CNT-B2	3q29		NM_012287
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	"centaurin, beta 5"	KIAA1716	1p36	AF411981	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	"acetyl-Coenzyme A acetyltransferase 1"	THIL	11q22.3	D90228	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved		"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)", "acetyl-Coenzyme A acetyltransferase 2"		6q25.3	AF356877	NM_005891
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	"golgi complex associated protein 1, 60kDa", "acyl-Coenzyme A binding domain containing 3"	GCP60, PAP7	1q41	AB043587	NM_022735
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		"acyl-Coenzyme A binding domain containing 4"	FLJ13322	17q21.31	BC029164	NM_024722
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		"acyl-Coenzyme A binding domain containing 5"	DKFZp434A2417, KIAA1996	10p12.1	AF505653	NM_145698
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		"acyl-Coenzyme A binding domain containing 6"	MGC2404	1q25.1	BC006505	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		"acyl-Coenzyme A binding domain containing 7"	FLJ38219, bA455B2.2	10p13	AK095538	
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	Approved			PHACS, ACS	11p11	AY026508	NM_032592
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	Approved				11p11.2		NM_001031854
HGNC:25070	ACD	adrenocortical dysplasia homolog (mouse)	Approved			Ptop, Pip1, Tpp1, Tint1	16q22	AF070535	NM_022914
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	DCP1	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"	ACE1, CD143	17q23.3	J04144	
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Approved		"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"		Xp22	AF291820	
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	ASAH3	"N-acylsphingosine amidohydrolase (alkaline ceramidase) 3"		19p13.3	AF347024	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	"N-acylsphingosine amidohydrolase 3-like"	FLJ41587	9p21.3	AK123581	XM_294540
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	"phytoceramidase, alkaline"	FLJ11238, APHC	11q13.5	AF214454	NM_018367
HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	Approved	YT	"acetylcholinesterase (YT blood group)", "acetylcholinesterase (Yt blood group)", "acetylcholinesterase"		7q22		NM_015831
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	"apoptotic chromatin condensation inducer in the nucleus"	KIAA0670, fSAP152	14q11.2	AB014570	NM_014977
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	"Duffy blood group", "Duffy blood group, chemokine receptor", "Duffy blood group, atypical chemokine receptor"	CCBP1, GPD, Dfy, CD234	1q21-q22	U01839	NM_002036
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	"chemokine binding protein 2"	CCR10, D6, CCR9	3p21.3	U94888	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	"chemokine orphan receptor 1", "chemokine (C-X-C motif) receptor 7"	RDC1, GPR159	2q37.3	BC008459	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	"chemokine (C-C motif) receptor-like 1"	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22	AF110640	NM_016557
HGNC:115	ACLY	ATP citrate lyase	Approved			ATPCL, CLATP, ACL	17q21.2	X64330	NM_001096
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved				2q21.3	AB071418	
HGNC:21752	ACN9	ACN9 homolog (S. cerevisiae)	Approved			DC11	7q22.1	BC028409	NM_020186
HGNC:117	ACO1	aconitase 1, soluble	Approved	IREB1		IRP1, IREBP	9p21.1	M58510	NM_002197
HGNC:118	ACO2	aconitase 2, mitochondrial	Approved			ACONM	22q13.2	AH006514	NM_001098
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved			ACH2, CTE-1, LACH2	14q24.3	DQ082754	NM_001037161
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved			Mte1, ZAP128	14q24.3	AY005822, AK001939	NM_006821
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Approved			FLJ31235, PTE-Ib, PTE2B	14q24.1	BC031799	NM_152331
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Approved	C14orf42	"chromosome 14 open reading frame 42"		14q24.3	DQ082756, BF109853	NM_001037162
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	Approved			BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36	AB074417	NM_007274
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	Approved	PTE1	"peroxisomal acyl-CoA thioesterase", "peroxisomal acyl-CoA thioesterase 1"	hACTE-III, hTE, PTE-2	20q13.12	AF014404	NM_183386
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Approved			CGI-16, MT-ACT48, ACATE2	Xp22.11	AF132950	NM_012332
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Approved	THEA	"thioesterase, adipose associated"	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	AB014607	NM_015547
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Approved			Cach, THEAL, STARD15	5q14.1	AB078619	NM_130767
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	Approved	THEM2	"thioesterase superfamily member 2"	HT012	6p22.1	AF220186	NM_018473
HGNC:119	ACOX1	acyl-CoA oxidase 1, palmitoyl	Approved		"acyl-Coenzyme A oxidase 1, palmitoyl"	PALMCOX	17q25.1	U03254	
HGNC:120	ACOX2	acyl-CoA oxidase 2, branched chain	Approved		"acyl-Coenzyme A oxidase 2, branched chain"	BRCACOX, BRCOX, THCCox	3p14.3	X95190	
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	Approved		"acyl-Coenzyme A oxidase 3, pristanoyl"		4p15.3	Y11411	
HGNC:25621	ACOXL	acyl-CoA oxidase-like	Approved		"acyl-Coenzyme A oxidase-like"	FLJ11042	2q13		NM_018308
HGNC:122	ACP1	acid phosphatase 1, soluble	Approved				2p25	M87546	
HGNC:123	ACP2	acid phosphatase 2, lysosomal	Approved				11p11.2	X15525	NM_001610
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	Approved			TRAP	19p13.2	X14618	
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	Approved			LPAP, ACPL1	1q21	BC009965	NM_016361
HGNC:125	ACPP	acid phosphatase, prostate	Approved			ACP3, ACP-3	3q22.1		NM_001099
HGNC:14376	ACPT	acid phosphatase, testicular	Approved				19q13.33	AF321918	NM_033068
HGNC:126	ACR	acrosin	Approved				22q13.33	CR456366	NM_001097
HGNC:17195	ACRBP	acrosin binding protein	Approved			SP32, OY-TES-1, CT23	12p13.31	AB051833	NM_032489
HGNC:15805	ACRC	acidic repeat containing	Approved				Xq13.1	AJ311392	
HGNC:127	ACRV1	acrosomal vesicle protein 1	Approved			SPACA2, SP-10, D11S4365	11q24.2	AK223335	NM_001612
